feature,nominated_best_picture,won_best_picture,num_of_awards
color,-0.350615592,-0.125016071,-0.168231807
director_name,-0.001271809,0.000549653,0.006810919
num_critic_for_reviews,0.005221083,0.027023173,0.068171922
duration,0.205489031,0.155523769,0.254000801
director_facebook_likes,0.070995392,0.026844393,0.083084682
actor_3_facebook_likes,-0.020327945,-0.019289359,-0.000511446
actor_2_name,0.011853093,-0.004855378,0.006035691
actor_1_facebook_likes,-0.026866461,-0.009341678,-0.004672406
gross,0.03391511,0.060851997,0.149797842
actor_1_name,-0.003584201,-0.02185988,-0.001259719
movie_title,-0.002281651,-0.007639901,-0.002848034
num_voted_users,0.139438521,0.162534016,0.242838417
cast_total_facebook_likes,-0.030227618,-0.01186239,-0.004051819
actor_3_name,-0.009999787,-0.007939064,0.007965792
facenumber_in_poster,-0.130650956,-0.006124842,-0.075735195
num_user_for_reviews,0.086490081,0.106600545,0.18363258
language,-0.024997894,-0.023418394,-0.005607424
country,0.123975284,0.03511643,0.066552962
content_rating,0.092295076,-0.032615595,-0.041654923
budget,-0.025749517,-0.011448178,-0.007738513
title_year,-0.531646218,-0.196152923,-0.305898414
actor_2_facebook_likes,-0.006719881,-0.000904061,0.011193402
imdb_score,0.288561062,0.148646649,0.248958686
aspect_ratio,-0.073020613,-0.031079167,-0.041608583
movie_facebook_likes,0.081672782,0.034336777,0.093308429
Nominated Actor Leading,0.558557799,0.334981932,0.453528727
Won Actor Leading,0.328455051,0.315223973,0.403730221
Nominated Actor Supporting,0.463553671,0.309610659,0.434057442
Won Actor Supporting,0.244491379,0.207394925,0.336100342
Nominated Actress Leading,0.415486114,0.168050971,0.300470342
Won Actress Leading,0.277593975,0.131905421,0.286190315
Nominated Actress Supporting,0.43447678,0.211649739,0.347338429
Won Actress Supporting,0.261278251,0.16919557,0.317445664
Nominated Animated,-0.017588334,-0.012260458,0.017495335
Won Animated,0.007781433,-0.006670605,0.058896041
Nominated Art Direction,0.484510704,0.269084664,0.535145044
Won Art Direction,0.346918134,0.293318508,0.583614628
Nominated Cinematography,0.548151868,0.313152545,0.564418201
Won Cinematography,0.356840649,0.278390119,0.549659042
Nominated Costume Design,0.325433685,0.245026909,0.44790439
Won Costume Design,0.239709181,0.270213353,0.494318856
Nominated Directing,0.747581556,0.463487722,0.648648306
Won Directing,0.391721101,0.726943813,0.679824034
